Designator,Mid X,Mid Y,Rotation,Layer
R28,195.072,-130.556,180.0,top
R29,196.596,-123.952,90.0,top
R2_SI5351AB1,164.593999,-194.564,180.0,top
R2_TD1,143.254001,-129.54,180.0,top
R2_TDV1,143.257999,-156.972,180.0,top
R3,153.035,-85.09,90.0,top
R30,196.596,-131.065999,90.0,top
R31,132.588,-198.0165,270.0,top
R32,135.128,-198.0165,270.0,top
R3_TD1,131.573999,-134.112,180.0,top
R3_TDV1,130.63,-162.634,90.0,top
R4,140.140015,-84.584527,90.0,top
R4_TD1,131.572,-136.652,180.0,top
R4_TDV1,130.63,-166.758,90.0,top
R5,153.163707,-105.520206,90.0,top
R6,138.887758,-89.335336,90.0,top
R7,140.603839,-86.427774,45.0,top
R8,103.297445,-116.504783,180.0,top
R9,199.644,-189.306,270.0,top
RP_USB1,152.115,-79.13,180.0,top
U1,154.050703,-99.0,90.0,top
U10,197.112,-90.17,0.0,top
U100,215.132,-91.948,0.0,top
U101,162.308,-177.8,180.0,top
U102,171.956,-177.8,0.0,top
U103,159.768,-117.856,180.0,top
U104,165.352,-117.856,0.0,top
U105,159.768,-132.08,180.0,top
U106,165.352,-132.08,0.0,top
U107,159.768,-146.304,180.0,top
U108,165.352,-146.304,0.0,top
U109,159.768,-160.528,180.0,top
U11,197.104,-191.26,270.0,top
U110,165.352,-160.528,0.0,top
U111,159.768,-122.936,180.0,top
U112,159.768,-137.16,180.0,top
U113,159.768,-151.384,180.0,top
U114,159.768,-165.608,180.0,top
U115,165.352,-122.936,0.0,top
U116,165.352,-137.16,0.0,top
U117,165.352,-151.384,0.0,top
U118,165.352,-165.608,0.0,top
U119,147.068,-191.516,180.0,top
U12,199.644,-186.692,90.0,top
U120,150.62,-191.516,0.0,top
U121,150.62,-196.596,0.0,top
U122,147.068,-196.596,180.0,top
U123,129.796,-197.612,180.0,top
U124,137.92,-197.612,0.0,top
U125,160.276,-103.686,0.0,top
U126,165.1,-95.76,90.0,top
U127,160.272,-94.996,0.0,top
U128,143.764,-107.948,270.0,top
U129,148.844,-107.948,270.0,top
U13,195.58,-208.532,270.0,top
U130,169.164,-187.708,90.0,top
U131,171.956,-191.516,0.0,top
U132,169.164,-196.34,270.0,top
U14,200.66,-208.532,270.0,top
U15,197.978,-201.424,90.0,top
U16,201.928,-204.216,0.0,top
U17,194.312,-204.216,180.0,top
U18,209.804,-208.532,270.0,top
U19,214.884,-208.532,270.0,top
U1_FN1,112.268,-120.396,270.0,top
U1_JU1,177.544,-99.114,180.0,top
U1_JU2,186.18,-99.114,180.0,top
